five_tuple,timestamp,size,src_ip,dst_ip,src_port,dst_port,proto,two_tuple,pkt_count,flow_size,interval
244.3.160.239:80-41.177.40.117:12646-TCP,1261067943.886984,48,244.3.160.239,41.177.40.117,80,12646,TCP,244.3.160.239-41.177.40.117,6,1714,0.0014328956604003906
244.3.160.239:80-41.177.40.117:5684-TCP,1261067943.888417,48,244.3.160.239,41.177.40.117,80,5684,TCP,244.3.160.239-41.177.40.117,6,1125,0.0003540515899658203
244.3.160.239:80-41.177.40.117:9941-TCP,1261067943.888771,48,244.3.160.239,41.177.40.117,80,9941,TCP,244.3.160.239-41.177.40.117,6,1753,0.0018379688262939453
244.3.160.239:80-41.177.40.117:4303-TCP,1261067943.890609,48,244.3.160.239,41.177.40.117,80,4303,TCP,244.3.160.239-41.177.40.117,6,1230,0.0003399848937988281
244.3.160.239:80-41.177.40.117:7069-TCP,1261067943.890949,48,244.3.160.239,41.177.40.117,80,7069,TCP,244.3.160.239-41.177.40.117,7,2677,0.08844208717346191
244.3.160.239:80-41.177.40.117:4849-TCP,1261067943.979391,48,244.3.160.239,41.177.40.117,80,4849,TCP,244.3.160.239-41.177.40.117,6,648,0.09915781021118164
244.3.160.239:80-41.177.40.117:3446-TCP,1261067944.078549,48,244.3.160.239,41.177.40.117,80,3446,TCP,244.3.160.239-41.177.40.117,6,1565,0.017188072204589844
244.3.160.239:80-41.177.40.117:13766-TCP,1261067944.095737,48,244.3.160.239,41.177.40.117,80,13766,TCP,244.3.160.239-41.177.40.117,7,2174,0.0014331340789794922
244.3.160.239:80-41.177.40.117:11155-TCP,1261067944.09717,48,244.3.160.239,41.177.40.117,80,11155,TCP,244.3.160.239-41.177.40.117,8,3334,0.0012319087982177734
244.3.160.239:80-41.177.40.117:6121-TCP,1261067944.098402,48,244.3.160.239,41.177.40.117,80,6121,TCP,244.3.160.239-41.177.40.117,6,528,0.00037097930908203125
244.3.160.239:80-41.177.40.117:5858-TCP,1261067944.098773,48,244.3.160.239,41.177.40.117,80,5858,TCP,244.3.160.239-41.177.40.117,6,814,4.473570108413696
244.3.160.239:80-41.177.40.117:15221-TCP,1261067948.572343,48,244.3.160.239,41.177.40.117,80,15221,TCP,244.3.160.239-41.177.40.117,6,1562,1.4640989303588867
244.3.160.239:80-41.177.40.117:15125-TCP,1261067950.036442,48,244.3.160.239,41.177.40.117,80,15125,TCP,244.3.160.239-41.177.40.117,41,37750,0.5077109336853027
244.3.160.239:80-41.177.40.117:4713-TCP,1261067950.544153,48,244.3.160.239,41.177.40.117,80,4713,TCP,244.3.160.239-41.177.40.117,23,19061,0.2859671115875244
244.3.160.239:80-41.177.40.117:4977-TCP,1261067950.83012,48,244.3.160.239,41.177.40.117,80,4977,TCP,244.3.160.239-41.177.40.117,8,5026,3.3444910049438477
244.3.160.239:80-41.177.40.117:10493-TCP,1261067954.174611,48,244.3.160.239,41.177.40.117,80,10493,TCP,244.3.160.239-41.177.40.117,8,3387,0.0006988048553466797
244.3.160.239:80-41.177.40.117:3859-TCP,1261067954.17531,48,244.3.160.239,41.177.40.117,80,3859,TCP,244.3.160.239-41.177.40.117,28,32830,0.07505321502685547
244.3.160.239:80-41.177.40.117:5736-TCP,1261067954.250363,48,244.3.160.239,41.177.40.117,80,5736,TCP,244.3.160.239-41.177.40.117,10,4398,2.7535150051116943
244.3.160.239:80-41.177.40.117:11979-TCP,1261067957.003878,48,244.3.160.239,41.177.40.117,80,11979,TCP,244.3.160.239-41.177.40.117,3,503,0.8394079208374023
244.3.160.239:80-41.177.40.117:3485-TCP,1261067957.843286,48,244.3.160.239,41.177.40.117,80,3485,TCP,244.3.160.239-41.177.40.117,10,6679,0.9373528957366943
244.3.160.239:80-41.177.40.117:5908-TCP,1261067958.780639,48,244.3.160.239,41.177.40.117,80,5908,TCP,244.3.160.239-41.177.40.117,1120,1489179,0.12200713157653809
244.3.160.239:80-41.177.40.117:7094-TCP,1261067958.902646,48,244.3.160.239,41.177.40.117,80,7094,TCP,244.3.160.239-41.177.40.117,7,481,115.89199805259705
