0.048,0.007,0.048,0.006,0.046,0.049,0.051,0.047,0.011,0.049,0.045,0.004,0.050,0.005,0.005,0.005,0.009,0.046,0.046,0.008,0.058,0.004,0.006,0.045,0.051,0.004,0.004,0.046,0.048,0.005,0.050,0.005,0.006,0.044,0.005,0.047,0.050,0.050,0.057,0.005,0.051,0.054,0.047,0.051,0.005,0.046,0.045,0.005,0.040,0.004,0.050,0.004,0.059,0.047,0.052,0.046
0.004,0.050,0.007,0.052,0.003,0.006,0.006,0.004,0.055,0.005,0.011,0.044,0.005,0.049,0.046,0.051,0.052,0.005,0.003,0.045,0.012,0.045,0.052,0.003,0.049,0.045,0.046,0.003,0.004,0.048,0.005,0.051,0.052,0.016,0.042,0.003,0.005,0.005,0.012,0.051,0.049,0.008,0.005,0.008,0.050,0.042,0.077,0.049,0.071,0.044,0.048,0.050,0.057,0.048,0.017,0.076
0.051,0.004,0.051,0.004,0.049,0.052,0.054,0.049,0.007,0.052,0.049,0.008,0.053,0.003,0.005,0.003,0.006,0.049,0.049,0.006,0.061,0.007,0.004,0.048,0.054,0.007,0.006,0.049,0.051,0.004,0.053,0.003,0.004,0.047,0.009,0.050,0.052,0.053,0.060,0.003,0.054,0.057,0.049,0.054,0.003,0.048,0.045,0.003,0.040,0.008,0.053,0.003,0.062,0.051,0.056,0.046
0.056,0.005,0.055,0.004,0.053,0.057,0.058,0.054,0.005,0.056,0.053,0.011,0.058,0.006,0.009,0.004,0.003,0.053,0.053,0.010,0.066,0.010,0.004,0.052,0.059,0.010,0.009,0.054,0.055,0.007,0.058,0.004,0.004,0.052,0.013,0.054,0.057,0.058,0.064,0.004,0.059,0.061,0.054,0.059,0.005,0.051,0.043,0.006,0.037,0.011,0.058,0.007,0.067,0.056,0.060,0.043
0.054,0.003,0.054,0.002,0.052,0.056,0.057,0.053,0.004,0.055,0.051,0.010,0.056,0.004,0.007,0.002,0.003,0.052,0.052,0.008,0.064,0.009,0.002,0.051,0.057,0.008,0.008,0.052,0.054,0.005,0.056,0.002,0.002,0.050,0.011,0.053,0.056,0.056,0.062,0.002,0.057,0.060,0.053,0.057,0.003,0.051,0.044,0.004,0.038,0.010,0.056,0.005,0.066,0.053,0.058,0.045
0.060,0.010,0.060,0.007,0.058,0.062,0.063,0.059,0.007,0.061,0.058,0.015,0.062,0.010,0.013,0.008,0.008,0.059,0.058,0.014,0.070,0.014,0.007,0.057,0.062,0.014,0.014,0.058,0.060,0.011,0.062,0.008,0.007,0.056,0.017,0.059,0.062,0.063,0.069,0.008,0.062,0.066,0.059,0.064,0.009,0.057,0.039,0.010,0.034,0.015,0.061,0.010,0.070,0.059,0.064,0.040
0.008,0.052,0.003,0.054,0.009,0.011,0.009,0.009,0.056,0.006,0.017,0.047,0.008,0.051,0.049,0.054,0.054,0.004,0.009,0.047,0.014,0.048,0.054,0.009,0.056,0.047,0.048,0.009,0.008,0.051,0.009,0.054,0.054,0.022,0.045,0.006,0.009,0.009,0.010,0.054,0.056,0.011,0.005,0.005,0.053,0.043,0.082,0.052,0.076,0.047,0.055,0.053,0.064,0.054,0.024,0.081
0.009,0.055,0.005,0.057,0.010,0.013,0.009,0.010,0.059,0.006,0.019,0.050,0.008,0.054,0.052,0.057,0.057,0.006,0.010,0.050,0.011,0.051,0.057,0.011,0.058,0.050,0.051,0.010,0.009,0.054,0.009,0.057,0.057,0.024,0.048,0.007,0.010,0.009,0.007,0.057,0.058,0.009,0.006,0.004,0.056,0.047,0.084,0.055,0.078,0.050,0.056,0.056,0.066,0.056,0.026,0.084
0.050,0.006,0.050,0.005,0.047,0.051,0.052,0.048,0.009,0.051,0.047,0.007,0.052,0.004,0.005,0.005,0.008,0.048,0.047,0.006,0.060,0.006,0.005,0.046,0.053,0.006,0.005,0.048,0.050,0.004,0.052,0.005,0.005,0.046,0.008,0.049,0.051,0.052,0.058,0.005,0.053,0.055,0.048,0.053,0.005,0.047,0.046,0.004,0.041,0.007,0.052,0.004,0.060,0.049,0.054,0.047
0.008,0.059,0.010,0.062,0.011,0.010,0.006,0.010,0.064,0.008,0.016,0.054,0.006,0.059,0.056,0.061,0.062,0.011,0.011,0.054,0.005,0.055,0.062,0.012,0.055,0.055,0.055,0.011,0.009,0.058,0.007,0.061,0.062,0.021,0.052,0.009,0.008,0.007,0.004,0.061,0.055,0.005,0.010,0.006,0.060,0.051,0.086,0.059,0.080,0.054,0.054,0.060,0.063,0.053,0.023,0.086
0.056,0.005,0.056,0.004,0.053,0.057,0.058,0.054,0.005,0.057,0.053,0.011,0.058,0.006,0.008,0.004,0.003,0.054,0.054,0.010,0.066,0.010,0.004,0.052,0.058,0.010,0.009,0.054,0.056,0.007,0.058,0.004,0.004,0.052,0.012,0.055,0.057,0.058,0.064,0.004,0.058,0.061,0.054,0.059,0.005,0.052,0.042,0.006,0.036,0.011,0.057,0.006,0.067,0.055,0.060,0.042
0.055,0.004,0.054,0.002,0.052,0.056,0.057,0.053,0.005,0.055,0.052,0.010,0.057,0.004,0.007,0.003,0.004,0.053,0.052,0.009,0.065,0.009,0.002,0.051,0.057,0.008,0.008,0.052,0.054,0.005,0.057,0.003,0.002,0.051,0.011,0.054,0.056,0.057,0.063,0.003,0.057,0.060,0.053,0.058,0.003,0.051,0.044,0.004,0.038,0.010,0.056,0.004,0.065,0.053,0.059,0.044
0.018,0.055,0.012,0.059,0.018,0.021,0.017,0.018,0.059,0.015,0.028,0.051,0.017,0.055,0.053,0.058,0.057,0.013,0.018,0.051,0.018,0.052,0.059,0.019,0.066,0.051,0.052,0.018,0.018,0.055,0.018,0.058,0.059,0.033,0.049,0.015,0.019,0.017,0.014,0.058,0.066,0.017,0.013,0.013,0.057,0.048,0.088,0.056,0.081,0.051,0.065,0.057,0.074,0.065,0.034,0.087
0.063,0.061,0.069,0.060,0.062,0.059,0.064,0.062,0.065,0.066,0.054,0.058,0.064,0.060,0.059,0.060,0.063,0.067,0.062,0.062,0.066,0.058,0.060,0.062,0.014,0.058,0.059,0.062,0.063,0.059,0.064,0.060,0.060,0.049,0.058,0.065,0.062,0.064,0.070,0.060,0.014,0.065,0.067,0.069,0.059,0.088,0.078,0.059,0.078,0.058,0.016,0.057,0.029,0.021,0.048,0.082
0.052,0.004,0.052,0.003,0.050,0.054,0.055,0.051,0.007,0.053,0.050,0.008,0.054,0.003,0.005,0.002,0.005,0.050,0.050,0.007,0.062,0.007,0.003,0.049,0.055,0.007,0.006,0.050,0.052,0.004,0.054,0.002,0.003,0.049,0.009,0.051,0.054,0.055,0.061,0.002,0.055,0.058,0.051,0.056,0.003,0.049,0.044,0.003,0.038,0.008,0.054,0.003,0.063,0.052,0.057,0.045
0.050,0.005,0.050,0.004,0.048,0.051,0.053,0.048,0.009,0.051,0.047,0.005,0.052,0.003,0.003,0.004,0.007,0.048,0.048,0.006,0.060,0.004,0.004,0.047,0.052,0.004,0.003,0.048,0.050,0.003,0.052,0.004,0.004,0.046,0.006,0.049,0.051,0.052,0.059,0.004,0.052,0.056,0.048,0.053,0.003,0.048,0.044,0.003,0.038,0.005,0.051,0.002,0.061,0.048,0.054,0.045
0.005,0.053,0.005,0.055,0.006,0.009,0.005,0.006,0.058,0.004,0.015,0.047,0.004,0.052,0.050,0.055,0.055,0.005,0.006,0.048,0.008,0.048,0.055,0.007,0.054,0.048,0.049,0.006,0.005,0.051,0.005,0.055,0.055,0.020,0.046,0.004,0.006,0.005,0.008,0.055,0.054,0.006,0.004,0.004,0.054,0.046,0.080,0.052,0.074,0.047,0.053,0.053,0.062,0.052,0.022,0.080
0.005,0.054,0.011,0.056,0.007,0.004,0.005,0.006,0.059,0.008,0.009,0.048,0.006,0.053,0.050,0.055,0.056,0.011,0.006,0.049,0.010,0.049,0.056,0.007,0.045,0.049,0.050,0.006,0.005,0.052,0.005,0.055,0.056,0.012,0.047,0.008,0.004,0.005,0.011,0.055,0.045,0.006,0.010,0.010,0.054,0.048,0.077,0.053,0.072,0.048,0.044,0.054,0.053,0.043,0.013,0.077
0.053,0.003,0.052,0.003,0.050,0.054,0.055,0.051,0.007,0.054,0.050,0.007,0.055,0.003,0.005,0.002,0.005,0.051,0.050,0.007,0.063,0.006,0.003,0.049,0.055,0.006,0.006,0.050,0.052,0.003,0.055,0.002,0.003,0.049,0.009,0.052,0.054,0.055,0.061,0.002,0.055,0.058,0.051,0.056,0.002,0.050,0.044,0.003,0.038,0.008,0.054,0.003,0.063,0.051,0.057,0.044
0.009,0.053,0.006,0.056,0.009,0.011,0.010,0.009,0.057,0.007,0.016,0.048,0.009,0.052,0.050,0.055,0.055,0.006,0.009,0.048,0.015,0.049,0.056,0.010,0.055,0.048,0.049,0.009,0.009,0.052,0.010,0.055,0.056,0.021,0.046,0.007,0.009,0.010,0.011,0.055,0.055,0.012,0.007,0.007,0.054,0.043,0.083,0.053,0.077,0.048,0.054,0.054,0.063,0.054,0.023,0.083
0.056,0.006,0.056,0.004,0.053,0.057,0.058,0.054,0.005,0.057,0.053,0.011,0.058,0.006,0.008,0.004,0.004,0.054,0.053,0.010,0.066,0.010,0.004,0.052,0.058,0.010,0.009,0.053,0.055,0.007,0.058,0.004,0.004,0.052,0.012,0.055,0.057,0.058,0.064,0.004,0.058,0.061,0.054,0.059,0.005,0.053,0.042,0.006,0.036,0.011,0.057,0.006,0.066,0.055,0.060,0.042
