time,size
545.1370480060577,675
545.7770080566406,672
546.6406579017639,685
547.5372078418732,683
548.2149159908295,721
550.4488840103149,716
551.1352908611298,735
552.340234041214,645
553.1671879291534,643
553.9641687870026,636
554.7939338684082,754
556.0268621444702,750
557.2451848983765,677
559.0898370742798,754
560.3218879699707,645
561.1205508708954,635
561.9435179233551,632
562.7458729743958,685
563.5577309131622,636
564.3705449104309,646
565.1841948032379,676
565.922532081604,709
567.1360731124878,683
567.7500710487366,680
661.9285418987274,684
670.2532970905304,676
672.8852088451385,641
673.5978009700775,636
674.6431570053101,672
675.4955937862396,675
676.3083028793335,852
677.5265879631042,748
678.9490098953247,699
680.1721658706665,645
681.0451920032501,762
682.6676759719849,636
683.4967050552368,673
684.0893890857697,671
684.6994438171387,645
685.5112838745117,676
686.3237340450287,628
781.6978688240051,547
789.8155429363251,833
796.0437529087067,640
796.8028299808502,592
797.5782051086426,711
799.0104608535767,605
799.7957220077515,595
800.6189260482788,636
801.4719390869141,634
802.6901459693909,645
803.499517917633,635
804.3138518333435,682
805.1225829124451,663
2010.8272290229797,680
2011.809310913086,644
2012.7986869812012,641
2013.489179134369,672
2014.169037103653,632
2014.809506893158,721
2016.0057170391083,605
2016.6483929157257,645
2017.4331419467926,810
2018.467530965805,676
2019.1583518981934,643
2019.8498449325562,676
2021.5827980041504,643
2022.298702955246,671
2022.8919098377228,595
2023.5592229366302,748
2024.8397381305695,642
2026.4389607906342,731
2027.6764929294586,645
2028.4860470294952,643
2029.2478749752045,605
2030.0617990493774,642
2030.6885890960693,735
2031.9037730693817,646
2032.7170479297638,712
2033.5190489292145,710
2035.2160291671753,632
2036.0335371494293,685
2036.6598880290985,678
2038.2648899555206,670
2040.0030391216278,636
2048.437551021576,643
2052.7640929222107,695
2054.0516889095306,672
2059.506947994232,720
2060.373533010483,682
2061.18391084671,605
2062.0159709453583,645
2062.8291158676147,594
2063.6364829540253,641
2064.4393389225006,891
2066.269490003586,635
2067.078843832016,596
2067.918205976486,596
2068.7312371730804,864
2131.261015892029,675
2135.897073984146,685
2137.9477310180664,708
2139.6610889434814,636
2140.3128418922424,683
2140.91721701622,672
2141.604743003845,683
2142.344356060028,676
2143.181319952011,685
2143.8279910087585,675
2144.591336965561,676
2145.4689679145813,642
2146.19934797287,698
2147.4217369556427,645
2148.201094865799,636
2149.0261471271515,676
2149.871996164322,683
2150.715141057968,605
2151.5108709335327,676
2152.1022098064423,685
2153.11798286438,693
2155.2056679725647,595
2155.909280061722,715
2156.532600879669,676
2157.3220570087433,635
2157.93798494339,635
2158.754238128662,668
2611.349527835846,606
2615.3073279857635,752
2620.3145899772644,676
2621.605078935623,639
2622.265805006027,605
2623.0603320598602,682
2624.321480989456,645
2625.0824949741364,682
2626.281522989273,721
2627.010481119156,595
2627.804666996002,595
2628.603858947754,672
2629.2135059833527,778
2630.437064886093,713
2631.24538397789,596
2632.0581588745117,683
2632.877629995346,672
2633.4659259319305,646
2634.2883410453796,643
2635.092314004898,635
2635.9030900001526,722
2636.813891887665,683
2637.434417963028,596
2638.2385170459747,635
2639.8292338848114,605
2640.031464099884,701
2653.2138900756836,592
2658.6875100135803,676
2659.9620130062103,742
2661.1038291454315,645
2662.409245967865,645
2663.166657924652,676
2663.979241847992,602
2664.7777869701385,588
3120.517409801483,682
3124.295590877533,583
3127.2004289627075,641
3127.9050188064575,603
3128.7604279518127,645
3129.5510518550873,774
3130.9861719608307,676
3131.6498589515686,635
3132.4744050502777,685
3133.1459391117096,685
3134.022082090378,641
3134.807916879654,604
3135.5856850147247,631
3136.206624031067,676
3136.9966418743134,682
3137.9312810897827,685
3138.8169779777527,633
3140.3478260040283,595
3141.196457862854,655
3142.762387037277,675
3143.5791339874268,635
3144.396297931671,597
3145.1991300582886,632
3145.9992339611053,569
3147.026850938797,631
3147.918146133423,693
3270.863781929016,722
3274.648010969162,685
3276.5947580337524,686
3277.469954967499,723
3278.2187881469727,596
3279.077523946762,636
3279.8543479442596,720
3280.511929988861,636
3281.305943965912,636
3282.0721600055695,602
3282.882523059845,653
3284.1354060173035,676
3284.9038791656494,642
3285.7084329128265,769
3287.195765018463,686
3287.984122991562,645
3288.774927854538,636
3289.625837087631,742
3291.000310897827,639
3291.6391050815582,685
3292.417009830475,720
3293.148488998413,686
3293.8687410354614,595
3294.640464067459,593
3295.42990899086,605
3296.2448301315308,635
3297.058331012726,633
3297.867748975754,596
3298.767492055893,681
