0.016,0.090,0.021,0.016,0.016,0.024,0.054,0.064,0.103,0.133,0.074,0.016,0.040,0.027,0.040,0.057,0.028,0.021,0.040,0.029,0.013,0.027,0.020,0.014,0.025,0.040,0.017,0.018,0.018,0.081,0.027,0.147,0.126,0.029,0.064,0.029,0.103,0.054,0.023,0.015,0.021,0.017,0.020,0.012,0.049,0.081,0.025,0.015,0.025,0.130,0.027,0.018,0.074,0.031,0.086,0.020,0.049,0.024,0.054,0.014,0.020,0.025,0.024,0.064,0.022,0.027,0.019,0.058,0.013,0.018,0.022,0.149,0.021,0.020,0.024,0.022,0.021,0.017,0.018,0.049,0.024,0.064,0.150,0.021,0.015,0.039,0.047,0.017,0.018,0.014,0.027,0.021,0.021,0.018,0.022,0.018,0.017,0.027,0.152,0.091,0.103,0.064,0.025,0.016,0.150,0.024,0.020,0.133,0.019,0.086,0.014,0.022,0.058,0.024,0.022
0.023,0.092,0.028,0.020,0.023,0.028,0.056,0.066,0.105,0.135,0.077,0.023,0.043,0.035,0.043,0.059,0.031,0.028,0.043,0.031,0.018,0.035,0.027,0.021,0.033,0.043,0.025,0.022,0.024,0.084,0.035,0.150,0.128,0.037,0.067,0.031,0.105,0.056,0.027,0.023,0.028,0.025,0.028,0.015,0.052,0.084,0.033,0.018,0.033,0.133,0.035,0.022,0.077,0.038,0.089,0.028,0.052,0.031,0.056,0.019,0.028,0.033,0.031,0.066,0.030,0.035,0.024,0.060,0.018,0.022,0.030,0.152,0.028,0.028,0.031,0.030,0.028,0.025,0.024,0.052,0.031,0.067,0.153,0.028,0.023,0.046,0.050,0.024,0.022,0.021,0.035,0.028,0.028,0.024,0.029,0.024,0.024,0.027,0.155,0.094,0.105,0.066,0.033,0.022,0.153,0.029,0.028,0.135,0.024,0.089,0.019,0.030,0.060,0.031,0.030
0.030,0.090,0.033,0.024,0.030,0.033,0.054,0.063,0.103,0.132,0.074,0.030,0.040,0.041,0.040,0.056,0.036,0.033,0.040,0.034,0.026,0.041,0.032,0.027,0.039,0.040,0.031,0.027,0.029,0.081,0.040,0.147,0.125,0.044,0.063,0.034,0.103,0.054,0.031,0.029,0.033,0.032,0.034,0.024,0.049,0.081,0.039,0.023,0.039,0.130,0.040,0.027,0.074,0.046,0.087,0.034,0.049,0.036,0.054,0.026,0.033,0.039,0.037,0.063,0.035,0.040,0.029,0.057,0.026,0.027,0.035,0.149,0.034,0.034,0.036,0.035,0.033,0.032,0.027,0.049,0.038,0.063,0.150,0.036,0.029,0.053,0.047,0.030,0.027,0.027,0.040,0.034,0.036,0.027,0.036,0.029,0.030,0.026,0.152,0.091,0.103,0.063,0.039,0.028,0.150,0.037,0.034,0.132,0.029,0.087,0.026,0.035,0.057,0.037,0.035
0.022,0.072,0.020,0.029,0.022,0.012,0.039,0.054,0.085,0.115,0.060,0.022,0.031,0.012,0.031,0.043,0.013,0.020,0.031,0.023,0.028,0.012,0.017,0.028,0.019,0.031,0.019,0.020,0.026,0.063,0.025,0.129,0.108,0.016,0.048,0.023,0.085,0.039,0.021,0.024,0.020,0.023,0.021,0.033,0.038,0.063,0.019,0.031,0.014,0.112,0.025,0.020,0.060,0.014,0.068,0.021,0.038,0.021,0.039,0.024,0.022,0.019,0.016,0.054,0.021,0.025,0.021,0.044,0.028,0.020,0.021,0.131,0.022,0.021,0.021,0.021,0.020,0.023,0.024,0.038,0.021,0.048,0.132,0.020,0.024,0.017,0.037,0.020,0.020,0.028,0.025,0.022,0.020,0.024,0.015,0.026,0.020,0.026,0.134,0.073,0.085,0.054,0.014,0.022,0.132,0.017,0.021,0.115,0.021,0.068,0.024,0.021,0.044,0.016,0.021
0.015,0.072,0.012,0.019,0.015,0.015,0.036,0.047,0.085,0.116,0.057,0.015,0.023,0.012,0.023,0.040,0.019,0.012,0.023,0.017,0.023,0.012,0.012,0.016,0.014,0.023,0.011,0.015,0.013,0.064,0.016,0.130,0.110,0.013,0.047,0.017,0.085,0.036,0.015,0.018,0.012,0.014,0.014,0.023,0.033,0.064,0.014,0.020,0.012,0.113,0.016,0.015,0.057,0.020,0.069,0.014,0.033,0.010,0.036,0.019,0.009,0.014,0.012,0.047,0.013,0.016,0.018,0.041,0.023,0.015,0.013,0.132,0.018,0.014,0.010,0.013,0.012,0.014,0.014,0.033,0.015,0.047,0.133,0.018,0.018,0.023,0.031,0.013,0.015,0.016,0.016,0.018,0.018,0.014,0.015,0.013,0.013,0.021,0.135,0.074,0.085,0.047,0.012,0.017,0.133,0.019,0.014,0.116,0.018,0.069,0.019,0.013,0.041,0.012,0.013
0.015,0.078,0.014,0.024,0.015,0.011,0.042,0.055,0.090,0.120,0.063,0.015,0.032,0.014,0.032,0.044,0.015,0.014,0.032,0.021,0.019,0.014,0.012,0.020,0.012,0.032,0.012,0.017,0.021,0.068,0.019,0.133,0.114,0.016,0.051,0.021,0.090,0.042,0.018,0.014,0.014,0.015,0.013,0.025,0.038,0.068,0.012,0.026,0.010,0.118,0.019,0.017,0.063,0.014,0.073,0.013,0.038,0.017,0.042,0.019,0.015,0.012,0.012,0.055,0.013,0.019,0.019,0.045,0.019,0.017,0.013,0.136,0.012,0.013,0.017,0.013,0.014,0.015,0.018,0.038,0.011,0.051,0.137,0.010,0.014,0.022,0.036,0.013,0.017,0.020,0.019,0.012,0.010,0.018,0.009,0.021,0.013,0.024,0.138,0.079,0.090,0.055,0.010,0.014,0.137,0.012,0.013,0.120,0.019,0.073,0.019,0.013,0.045,0.012,0.013
0.012,0.079,0.012,0.017,0.012,0.011,0.041,0.054,0.092,0.121,0.063,0.012,0.030,0.016,0.030,0.045,0.011,0.012,0.030,0.017,0.016,0.016,0.011,0.019,0.014,0.030,0.011,0.010,0.018,0.070,0.018,0.136,0.115,0.018,0.052,0.017,0.092,0.041,0.012,0.015,0.012,0.015,0.012,0.021,0.038,0.070,0.014,0.023,0.014,0.119,0.018,0.010,0.063,0.018,0.075,0.012,0.038,0.014,0.041,0.014,0.016,0.014,0.013,0.054,0.013,0.018,0.012,0.046,0.016,0.010,0.013,0.138,0.014,0.012,0.014,0.013,0.012,0.015,0.016,0.038,0.015,0.052,0.139,0.012,0.015,0.027,0.035,0.011,0.010,0.019,0.018,0.014,0.012,0.016,0.010,0.018,0.011,0.019,0.141,0.080,0.092,0.054,0.014,0.010,0.139,0.011,0.012,0.121,0.012,0.075,0.014,0.013,0.046,0.013,0.013
0.021,0.066,0.015,0.027,0.021,0.016,0.031,0.048,0.078,0.108,0.054,0.021,0.026,0.010,0.026,0.036,0.012,0.015,0.026,0.019,0.027,0.010,0.017,0.025,0.011,0.026,0.018,0.020,0.022,0.056,0.015,0.122,0.102,0.008,0.040,0.019,0.078,0.031,0.017,0.021,0.015,0.017,0.017,0.033,0.032,0.056,0.011,0.030,0.011,0.105,0.015,0.020,0.054,0.012,0.061,0.017,0.032,0.014,0.031,0.023,0.018,0.011,0.011,0.048,0.014,0.015,0.019,0.037,0.027,0.020,0.014,0.124,0.017,0.017,0.014,0.014,0.015,0.017,0.022,0.032,0.015,0.040,0.125,0.017,0.021,0.014,0.030,0.017,0.020,0.025,0.015,0.017,0.017,0.022,0.013,0.022,0.017,0.026,0.127,0.067,0.078,0.048,0.011,0.021,0.125,0.015,0.017,0.108,0.019,0.061,0.023,0.014,0.037,0.011,0.014
0.029,0.091,0.033,0.026,0.029,0.032,0.054,0.064,0.104,0.133,0.075,0.029,0.040,0.039,0.040,0.057,0.035,0.033,0.040,0.033,0.029,0.039,0.031,0.029,0.038,0.040,0.030,0.026,0.028,0.082,0.040,0.148,0.127,0.043,0.065,0.033,0.104,0.054,0.030,0.031,0.033,0.031,0.033,0.025,0.050,0.082,0.038,0.026,0.038,0.131,0.040,0.026,0.075,0.044,0.088,0.033,0.050,0.035,0.054,0.026,0.032,0.038,0.036,0.064,0.035,0.040,0.029,0.059,0.029,0.026,0.035,0.150,0.034,0.033,0.035,0.035,0.033,0.031,0.025,0.050,0.037,0.065,0.151,0.034,0.031,0.052,0.048,0.030,0.026,0.029,0.040,0.034,0.034,0.025,0.035,0.028,0.030,0.026,0.153,0.092,0.104,0.064,0.038,0.026,0.151,0.035,0.033,0.133,0.029,0.088,0.026,0.035,0.059,0.036,0.035
0.010,0.077,0.010,0.013,0.010,0.015,0.039,0.051,0.090,0.120,0.061,0.010,0.028,0.017,0.028,0.043,0.015,0.010,0.028,0.015,0.015,0.017,0.012,0.012,0.013,0.028,0.010,0.009,0.010,0.068,0.015,0.134,0.113,0.017,0.051,0.015,0.090,0.039,0.010,0.012,0.010,0.008,0.010,0.016,0.036,0.068,0.013,0.013,0.016,0.117,0.015,0.009,0.061,0.023,0.073,0.010,0.036,0.012,0.039,0.009,0.011,0.013,0.012,0.051,0.010,0.015,0.010,0.044,0.015,0.009,0.010,0.136,0.012,0.010,0.012,0.010,0.010,0.008,0.011,0.036,0.011,0.051,0.137,0.015,0.012,0.029,0.034,0.008,0.009,0.012,0.015,0.012,0.015,0.011,0.013,0.010,0.008,0.016,0.139,0.078,0.090,0.051,0.016,0.010,0.137,0.012,0.010,0.120,0.010,0.073,0.009,0.010,0.044,0.012,0.010
