size,cdf
660000,0.998780883779579
670000,0.9987968199393231
680000,0.9988047880191951
690000,0.9988167401390031
700000,0.9988366603386832
710000,0.9988466204385232
720000,0.9988545885183953
730000,0.9988645486182354
740000,0.9988784927580114
750000,0.9988904448778194
760000,0.9988984129576914
770000,0.9989083730575316
780000,0.9989143491174356
790000,0.9989282932572117
800000,0.9989402453770196
810000,0.9989502054768598
820000,0.9989561815367637
830000,0.9989800857763799
840000,0.9989860618362838
850000,0.9989900458762199
860000,0.999011958095868
870000,0.999027894255612
880000,0.9990398463754201
890000,0.9990458224353241
900000,0.9990498064752601
910000,0.9990577745551321
920000,0.9990657426350041
930000,0.9990737107148762
940000,0.9990776947548122
950000,0.9990896468746203
960000,0.9990996069744603
970000,0.9991135511142364
980000,0.9991255032340444
990000,0.9991334713139165
1000000,0.9991434314137565
1010000,0.9991593675735005
1020000,0.9991613595934685
1030000,0.9991733117132766
1040000,0.9991872558530527
1050000,0.9991872558530527
1060000,0.9991952239329247
1070000,0.9992051840327647
1080000,0.9992211201925089
1090000,0.9992290882723809
1100000,0.9992370563522529
1110000,0.9992569765519329
1120000,0.999266936651773
1130000,0.999270920691709
1140000,0.9992828728115171
1150000,0.9992888488714211
1160000,0.9992908408913891
1170000,0.9993047850311652
1180000,0.9993087690711012
1190000,0.9993127531110372
1200000,0.9993167371509732
1210000,0.9993286892707812
1220000,0.9993346653306853
1230000,0.9993426334105573
1240000,0.9993565775503334
1250000,0.9993645456302054
1260000,0.9993665376501734
1270000,0.9993745057300455
1280000,0.9993824738099175
1290000,0.9993844658298855
1300000,0.9993924339097575
1310000,0.9994123541094376
1320000,0.9994203221893097
1330000,0.9994262982492137
1340000,0.9994262982492137
1350000,0.9994282902691817
1360000,0.9994302822891497
1370000,0.9994382503690217
1380000,0.9994422344089577
1390000,0.9994422344089577
1400000,0.9994482104688618
1410000,0.9994521945087977
1420000,0.9994581705687018
1430000,0.9994661386485738
1440000,0.9994681306685418
1450000,0.9994721147084779
1460000,0.9994760987484138
1470000,0.9994780907683819
1480000,0.9994800827883499
1490000,0.9994880508682219
1500000,0.9994880508682219
1510000,0.999494026928126
1520000,0.999501995007998
1530000,0.999503987027966
1540000,0.9995059790479339
1550000,0.999507971067902
1560000,0.9995139471278061
1570000,0.99951992318771
1580000,0.999525899247614
1590000,0.9995318753075181
1600000,0.9995378513674221
1610000,0.9995398433873901
1620000,0.9995438274273262
1630000,0.9995438274273262
1640000,0.9995478114672621
1650000,0.9995517955071982
1660000,0.9995517955071982
1670000,0.9995517955071982
1680000,0.9995537875271662
1690000,0.9995597635870702
1700000,0.9995617556070382
1710000,0.9995697236869102
1720000,0.9995697236869102
1730000,0.9995717157068782
1740000,0.9995737077268463
1750000,0.9995737077268463
1760000,0.9995836678266863
1770000,0.9995856598466543
1780000,0.9995876518666224
1790000,0.9995916359065583
1800000,0.9995976119664624
1810000,0.9995996039864303
1820000,0.9995996039864303
1830000,0.9995996039864303
1840000,0.9995996039864303
1850000,0.9995996039864303
1860000,0.9996035880263664
1870000,0.9996035880263664
1880000,0.9996055800463344
1890000,0.9996055800463344
1900000,0.9996075720663024
1910000,0.9996115561062384
1920000,0.9996135481262064
1930000,0.9996155401461744
1940000,0.9996155401461744
1950000,0.9996195241861104
1960000,0.9996255002460145
1970000,0.9996274922659825
1980000,0.9996434284257265
1990000,0.9996513965055985
2000000,0.9996513965055985
2100000,0.9996733087252466
2200000,0.9996832688250867
2300000,0.9997031890247667
2400000,0.999733069324287
2500000,0.9997450214440949
2600000,0.999760957603839
2700000,0.999768925683711
2800000,0.9997888458833911
