0.015,0.048,0.057,0.015,0.055,0.057,0.006,0.046,0.049,0.058,0.005,0.010,0.010,0.048,0.016,0.011,0.104,0.054,0.046,0.115,0.015,0.062,0.006,0.083,0.014,0.058,0.066,0.056,0.062,0.042,0.062,0.006,0.046,0.051,0.094,0.052,0.054,0.055,0.052,0.048,0.057,0.013,0.044,0.016,0.004,0.043,0.039,0.061,0.005,0.032,0.006,0.061,0.047,0.042,0.058,0.054,0.064,0.054,0.055,0.058,0.057,0.053,0.061,0.066,0.054,0.058,0.063,0.052,0.056,0.059,0.057,0.050,0.069,0.063,0.072,0.074,0.061,0.058,0.067,0.074,0.066
0.009,0.049,0.052,0.008,0.051,0.052,0.003,0.046,0.045,0.054,0.005,0.004,0.006,0.050,0.010,0.005,0.110,0.049,0.046,0.121,0.009,0.060,0.003,0.089,0.008,0.053,0.060,0.051,0.055,0.044,0.056,0.003,0.045,0.050,0.100,0.052,0.049,0.056,0.049,0.050,0.054,0.007,0.050,0.009,0.004,0.043,0.038,0.057,0.003,0.026,0.004,0.055,0.046,0.042,0.053,0.049,0.058,0.049,0.051,0.056,0.052,0.047,0.055,0.062,0.049,0.053,0.056,0.046,0.050,0.056,0.052,0.044,0.064,0.061,0.066,0.070,0.055,0.054,0.064,0.070,0.063
0.008,0.053,0.049,0.009,0.048,0.049,0.007,0.050,0.043,0.052,0.007,0.007,0.001,0.054,0.008,0.005,0.113,0.046,0.050,0.124,0.009,0.061,0.007,0.092,0.007,0.050,0.057,0.047,0.052,0.047,0.052,0.006,0.049,0.053,0.103,0.056,0.045,0.060,0.046,0.054,0.050,0.007,0.053,0.007,0.007,0.048,0.042,0.055,0.006,0.023,0.006,0.052,0.049,0.047,0.049,0.045,0.055,0.046,0.048,0.058,0.049,0.044,0.052,0.060,0.045,0.049,0.053,0.043,0.047,0.055,0.048,0.042,0.062,0.062,0.064,0.067,0.052,0.052,0.061,0.067,0.060
0.065,0.011,0.104,0.064,0.100,0.105,0.056,0.015,0.098,0.108,0.058,0.060,0.061,0.008,0.066,0.061,0.055,0.104,0.019,0.066,0.064,0.093,0.058,0.033,0.064,0.104,0.116,0.106,0.111,0.017,0.111,0.058,0.021,0.017,0.045,0.012,0.104,0.009,0.099,0.011,0.105,0.063,0.078,0.065,0.056,0.018,0.026,0.109,0.056,0.081,0.057,0.111,0.026,0.018,0.107,0.103,0.114,0.105,0.100,0.082,0.105,0.103,0.111,0.116,0.104,0.107,0.112,0.100,0.105,0.101,0.107,0.099,0.119,0.088,0.121,0.125,0.110,0.108,0.120,0.125,0.119
0.006,0.055,0.044,0.006,0.043,0.044,0.013,0.051,0.038,0.050,0.016,0.010,0.012,0.058,0.005,0.009,0.120,0.043,0.047,0.131,0.006,0.056,0.014,0.099,0.006,0.044,0.050,0.044,0.047,0.049,0.048,0.014,0.045,0.049,0.110,0.054,0.041,0.063,0.042,0.055,0.047,0.006,0.060,0.008,0.015,0.049,0.041,0.052,0.014,0.016,0.014,0.046,0.042,0.048,0.044,0.041,0.048,0.044,0.043,0.053,0.044,0.040,0.047,0.058,0.042,0.044,0.046,0.038,0.042,0.051,0.045,0.037,0.058,0.058,0.060,0.066,0.045,0.050,0.064,0.066,0.062
0.059,0.079,0.100,0.058,0.098,0.100,0.049,0.079,0.092,0.078,0.048,0.053,0.054,0.077,0.060,0.055,0.071,0.098,0.081,0.077,0.058,0.080,0.050,0.073,0.058,0.101,0.110,0.098,0.105,0.076,0.105,0.050,0.081,0.086,0.074,0.085,0.097,0.086,0.095,0.079,0.098,0.057,0.005,0.059,0.048,0.077,0.076,0.080,0.047,0.075,0.050,0.105,0.084,0.076,0.102,0.097,0.108,0.097,0.098,0.075,0.100,0.097,0.105,0.086,0.098,0.102,0.106,0.095,0.099,0.085,0.100,0.093,0.098,0.081,0.100,0.093,0.105,0.077,0.070,0.093,0.071
0.119,0.065,0.159,0.119,0.155,0.159,0.110,0.069,0.151,0.141,0.109,0.114,0.114,0.063,0.120,0.115,0.000,0.158,0.073,0.012,0.119,0.126,0.110,0.023,0.118,0.159,0.170,0.159,0.166,0.071,0.166,0.110,0.076,0.072,0.013,0.067,0.158,0.061,0.152,0.065,0.157,0.117,0.068,0.120,0.108,0.072,0.080,0.142,0.108,0.136,0.110,0.165,0.080,0.073,0.162,0.158,0.168,0.157,0.154,0.115,0.159,0.157,0.165,0.150,0.158,0.162,0.167,0.155,0.159,0.140,0.160,0.154,0.159,0.121,0.161,0.157,0.165,0.140,0.141,0.157,0.141
0.043,0.095,0.006,0.043,0.007,0.006,0.050,0.091,0.009,0.026,0.050,0.047,0.045,0.097,0.042,0.045,0.158,0.000,0.089,0.169,0.043,0.042,0.049,0.137,0.043,0.008,0.012,0.003,0.007,0.089,0.008,0.049,0.087,0.090,0.148,0.095,0.004,0.102,0.007,0.096,0.006,0.044,0.098,0.041,0.050,0.089,0.081,0.024,0.051,0.034,0.049,0.009,0.084,0.088,0.007,0.004,0.010,0.003,0.007,0.051,0.006,0.005,0.007,0.017,0.003,0.007,0.008,0.008,0.005,0.020,0.003,0.008,0.020,0.045,0.020,0.022,0.009,0.028,0.055,0.023,0.050
0.054,0.006,0.093,0.053,0.089,0.093,0.049,0.005,0.087,0.100,0.053,0.051,0.055,0.010,0.054,0.053,0.068,0.094,0.006,0.079,0.055,0.085,0.052,0.047,0.053,0.091,0.103,0.095,0.099,0.009,0.099,0.052,0.008,0.006,0.058,0.004,0.093,0.010,0.088,0.006,0.095,0.053,0.081,0.057,0.051,0.008,0.014,0.100,0.051,0.068,0.052,0.098,0.013,0.009,0.095,0.093,0.101,0.095,0.090,0.074,0.093,0.092,0.098,0.108,0.093,0.095,0.099,0.089,0.093,0.093,0.096,0.088,0.109,0.080,0.111,0.116,0.097,0.100,0.114,0.116,0.112
0.131,0.077,0.171,0.130,0.166,0.171,0.121,0.081,0.163,0.151,0.121,0.126,0.126,0.074,0.132,0.127,0.014,0.170,0.085,0.001,0.131,0.135,0.122,0.034,0.130,0.170,0.182,0.170,0.177,0.083,0.178,0.122,0.088,0.084,0.024,0.078,0.170,0.070,0.164,0.077,0.169,0.129,0.076,0.131,0.120,0.084,0.092,0.152,0.120,0.148,0.122,0.177,0.092,0.085,0.174,0.169,0.180,0.169,0.166,0.125,0.171,0.169,0.177,0.159,0.170,0.174,0.178,0.167,0.171,0.150,0.172,0.165,0.171,0.131,0.172,0.166,0.177,0.150,0.148,0.166,0.149
